numero,ubicazione,decreto ministeriale, data,foglio,particella,sub,tipologia,concessionari ,consistenza,unnamed 10
1.0,via gambetta n 46,79223,03/12/1999,28,787.0,3.0,villetta,uff casa per alloggi di emergenza,nessuna,
2.0,villaggio cielo azzurro baia dei mori vaccarizzo 4 strada via gongola,72941,30/11/1999,68,1091.0,,villetta,,da ristrutturare,
3.0,via nazario sauro ang v d chiesa,75519,30/11/1999,21,2102.0,10.0,appartamento,,riconsegnato sett 2013,
4.0,via nazario sauro ang v d chiesa,75519,30/11/1999,21,2102.0,1.0,appartamento,uff casa per alloggi di emergenza,nessuna,
5.0,via nazario sauro ang v d chiesa,79221,03/12/1999,21,2102.0,8.0,appartamento,avulss onlus,nessuna,
6.0,via randazzo 27,79225,03/12/1999,13,701.0,,appartamento,anvez,non assegnabile ad usi civili h 2 40 revoca assegnazione ott 2013,
7.0,via randazzo 27,79225,03/12/1999,13,716.0,1.0,giardino,anvez,non assegnabile ad usi civili h 2 40 revoca assegnazione ott 2014,
8.0,via masaniello 4/a,75523,30/11/1999,28,2020.0,7.0,bottega,ass siculo rumena,da ristrutturare,
9.0,via anapo 16 18,76112,12/11/1999,17,118.0,17.0,magazzino,comune di catania,nessuna,
10.0,via anapo 16 18,76112,13/11/1999,17,117.0,12.0,magazzino,ct fiadda onlus,nessuna,
11.0,via caprera 28/30,7521,18/11/1999, 69/z,1421.0,,garage,,demolito,
12.0,via alfonzetti 73,49807,03/08/2000,69,16115.0,5.0,appartamento,centro aiuto alla vita,nessuna,
13.0,via monte s agata 6,34908,21/10/2002,69,4532.0,17.0,appartamento,comune di catania,vani 2,
14.0,via monte s agata 6,34908,21/10/2002,69,4532.0,14.0,appartamento,comune di catania,vani 9,
15.0,via monte s agata 6,34908,21/10/2002,69,4532.0,15.0,appartamento,comune di catania,vani 3 da ristrutturare,
16.0,vill delfino c davaccarizzo via rombo,16197,02/05/2003,68,860.0,2.0,villetta,a u s l 3,nessuna,
17.0,vill delfino c davaccarizzo via rombo,16197,02/05/2003,68,860.0,3.0,villetta,a u s l 3,nessuna,
17.0,via segusio are 530,2538,06/03/2006,36,248.0,,terreno mq 530 fabbricato mq 70,ass siculo rumena,nessuna,
18.0,via f delpino 10 c da zia lisa are 535,5494,22/02/2008,36,280.0,,terreno,centro astalli,nessuna,
19.0,via f delpino 12 c da zia lisa deposito mq377,5494,22/02/2008,36,280.0,2.0,magazzino,centro astalli,nessuna,
20.0,via delpino 12 c da zia lisa vani 5 mq 100,5494,22/02/2008,36,280.0,3.0,appartamento,centro astalli,nessuna,
,via f delpino 14 c da zia lisa,5494,22/02/2008,,,,garage mq 70,centro astalli,nessuna,
21.0,via f delpino 14 c da zia lisa app mq 117,5494,22/02/2008,36,280.0,4.0,magazzino,centro astalli,nessuna,
22.0,via delpino 12 c da zia lisa vani 5 mq 100,5494,22/02/2008,36,280.0,5.0,lastrico solare,centro astalli,nessuna,
24.0,via g finocchiaro 112 p 6 app mq100,41370,28/05/2009,16,179.0,24.0,appartamento,libera e addiopizzo,nessuna,
25.0,via savasta 26/a p 1 s garage mq 11,9000720,14/10/2010,16,179.0,61.0,garage,libera e addiopizzo,nessuna,
26.0,via p dellova133 p 1 vani cat 5,11511,2009,3,208.0,,appartamento,coop omega,nessuna,
27.0,via p dellova 137 p t vani cat 65,11511,2009,3,209.0,1.0,appartamento,coop omega,nessuna,
28.0,via p dellova 137 p 1 vani cat 5,11511,2009,3,209.0,2.0,appartamento,coop omega,nessuna,
29.0,via tito speri,33632,07/08/2009,28,1376.0,,terreno mq 262 circa,,nessuna,
30.0,via mannino cifali 16,34691,06/11/2014,1,348.0,1.0,fabbricato,,nessuna,
31.0,via mannino cifali 16,34691,06/11/2014,1,348.0,2.0,fabbricato,,nessuna,
32.0,via mannino cifali 16,34691,06/11/2014,1,348.0,3.0,fabbricato,,nessuna,
33.0,via mannino cifali 16,34691,06/11/2014,1,348.0,4.0,fabbricato,,nessuna,
34.0,via mannino cifali 17,34691,06/11/2014,1,349.0,,terreno are 1100,,nessuna,
34.0,via mannino cifali 17,34691,06/11/2014,1,353.0,,terreno are 1100,,nessuna,
35.0,via castello ursino 35,25163,06/08/2014,695,689.0,1.0,deposito appartamento,,nessuna,
36.0,via castello ursino 37,25163,06/08/2014,695,689.0,2.0,deposito appartamento,,nessuna,
