,, data,concessionari ,consistenza,decreto ministeriale,durata anni,foglio,particella,progetto,sub,tipologia,ubicazione,unnamed 10
Milano,1.0,03/12/1999,uff casa per alloggi di emergenza,nessuna,79223.0,,28,787.0,,3.0,villetta,via gambetta n 46,
Milano,2.0,30/11/1999,,da ristrutturare,72941.0,,68,1091.0,,,villetta,villaggio cielo azzurro baia dei mori vaccarizzo 4 strada via gongola,
Milano,3.0,30/11/1999,,riconsegnato sett 2013,75519.0,,21,2102.0,,10.0,appartamento,via nazario sauro ang v d chiesa,
Milano,4.0,30/11/1999,uff casa per alloggi di emergenza,nessuna,75519.0,,21,2102.0,,1.0,appartamento,via nazario sauro ang v d chiesa,
Milano,5.0,03/12/1999,avulss onlus,nessuna,79221.0,,21,2102.0,,8.0,appartamento,via nazario sauro ang v d chiesa,
Milano,6.0,03/12/1999,anvez,non assegnabile ad usi civili h 2 40 revoca assegnazione ott 2013,79225.0,,13,701.0,,,appartamento,via randazzo 27,
Milano,7.0,03/12/1999,anvez,non assegnabile ad usi civili h 2 40 revoca assegnazione ott 2014,79225.0,,13,716.0,,1.0,giardino,via randazzo 27,
Milano,8.0,30/11/1999,ass siculo rumena,da ristrutturare,75523.0,,28,2020.0,,7.0,bottega,via masaniello 4/a,
Milano,9.0,12/11/1999,comune di catania,nessuna,76112.0,,17,118.0,,17.0,magazzino,via anapo 16 18,
Milano,10.0,13/11/1999,ct fiadda onlus,nessuna,76112.0,,17,117.0,,12.0,magazzino,via anapo 16 18,
Milano,11.0,18/11/1999,,demolito,7521.0,, 69/z,1421.0,,,garage,via caprera 28/30,
Milano,12.0,03/08/2000,centro aiuto alla vita,nessuna,49807.0,,69,16115.0,,5.0,appartamento,via alfonzetti 73,
Milano,13.0,21/10/2002,comune di catania,vani 2,34908.0,,69,4532.0,,17.0,appartamento,via monte s agata 6,
Milano,14.0,21/10/2002,comune di catania,vani 9,34908.0,,69,4532.0,,14.0,appartamento,via monte s agata 6,
Milano,15.0,21/10/2002,comune di catania,vani 3 da ristrutturare,34908.0,,69,4532.0,,15.0,appartamento,via monte s agata 6,
Milano,16.0,02/05/2003,a u s l 3,nessuna,16197.0,,68,860.0,,2.0,villetta,vill delfino c davaccarizzo via rombo,
Milano,17.0,02/05/2003,a u s l 3,nessuna,16197.0,,68,860.0,,3.0,villetta,vill delfino c davaccarizzo via rombo,
Milano,17.0,06/03/2006,ass siculo rumena,nessuna,2538.0,,36,248.0,,,terreno mq 530 fabbricato mq 70,via segusio are 530,
