,Comune,Provincia,Statale Æ’?? Non statale,OMR,Sistema museale territoriale,Sistema museale urbano,Sistema museale tematico,Casa museo,Q1.1_SA_DENOMINAZIONE_MUSEO_ISTITUTO,Q1.2_SA_INDIRIZZO_MUSEO_ISTITUTO,Q1.3_SA_LOCALITA_MUSEO_ISTITUTO,Q1.4_SA_UBICAZIONE/EDIFICIO_MUSEO_ISTITUTO,Cap,Q1.8_SA_TELEFONO_MUSEO_ISTITUTO,Q1.9_SA_FAX_MUSEO_ISTITUTO,Q1.10_SA_EMAIL_MUSEO_ISTITUTO,Q1.11_SA_SITO WEB_MUSEO_ISTITUTO,latitudine,longitudine
0,Farnese,Viterbo,Non MIBACT,OMR,Sistema museale del lago di Bolsena,,PROUST,,museo civico FERRANTE RITTATORE VONWILLER,VIA COLLE SAN MARTINO; 16,Farnese,-,1010.0,761458849,761458849,museofarnese@virgilio.it  museofarnese@simulabo.it,www.simulabo.it,42.5498,11.72706
1,Roma,Roma,Non MIBACT,OMR,,,,,ECOMUSEO DEL LITORALE ROMANO,VIA DEL FOSSO DI DRAGONCELLO; 172,LONGARINA/OSTIA,AREA IMPIANTO IDROVORO DI OSTIA ANTICA,124.0,65651764,65650609,crt.ecomuseo@tin.it,www.ecomuseocrt.it,41.746559999999995,12.31766
2,Collepardo,Frosinone,MIBACT,,,,,,Abbazia di Trisulti,Via Trisulti; 8,-,-,3010.0,77547024,-,-,-,41.76406,13.37067
3,Roma,Roma,Non MIBACT,,,,,,MUSEO STORICO DELLA MOTORIZZAZIONE MILITARE DELL'ESERCITO,VIALE DELL'ESERCITO; 170,CECCHIGNOLA,CASERMA 'ARPAIA',143.0,06 50237374,06 50237374,museo@comlogpro.esercito.difesa.it,www.comlogpro.esercito.difesa.it,41.805890000000005,12.49709
4,Roma,Roma,Non MIBACT,,,,,,MUSEO STORICO DELLA COMUNICAZIONE,VIALE EUROPA 190,-,Eur -  Ministero dello Sviluppo Economico,144.0,06 54443000,06 54221673,museo.comunicazioni@sviluppoeconomico.gov.it,www.sviluppoeconomico.gov.it/museo,41.83129,12.46763
5,Roma,Roma,MIBACT,,,,,,Complesso di Capo di Bove,Via Appia Antica; 222,-,Area archeologica presso villa/casale lungo la Via Appia Antica,178.0,67806686,678358742,-,htpp://www.archeoroma.beniculturali.it,41.84397,12.529739999999999
6,Roma,Roma,Non MIBACT,OMR,,Sistema Musei in Comune,,,MUSEI CAPITOLINI,PIAZZA DEL CAMPIDOGLIO; 1,,c/o palazzo (Palazzo dei Conservatori; Palazzo Nuovo; Palazzo Caffarelli; Palazzo Clementino; Palazzo Senatorio),186.0,667102475,66785488,info.museicapitolini@comune.roma.it,www.museicapitolini.org,41.89335,12.4829
7,Roma,Roma,Non MIBACT,,,,,,MUSEO TEATRALE SIAE DEL BURCARDO,VIA DEL SUDARIO; 44,-,-,186.0,66819471,668194727,biblioteca.burcardo@siae.it,-,41.89597,12.475530000000001
8,Roma,Roma,Non MIBACT,,,,,,MUSEO CRIMINOLOGICO,VIA DEL GONFALONE; 29,-,-,186.0,668899442,668215347,museo.criminologico@giustizia.it,www.museocriminologico.it,41.897729999999996,12.46664
9,Roma,Roma,Non MIBACT,OMR,,,,,Museo d'arte sacra di San Giovanni dei Fiorentini,via degli Acciaioli 2,,Chiesa di San Giovanni dei Fiorentini,186.0,06 6869892,,info@sangiovannideifiorentini.net,www.sangiovannideifiorentini.net/index.php/museo/,41.899809999999995,12.464369999999999
10,Cerveteri,Roma,MIBACT,,,,,,Necropoli della Banditaccia,Piazzale Mario Moretti (giÃ‡Ã¿ della Necropoli),-,-,53.0,69940001,69940001,sba-em@beniculturali.it,htpp//:etruriameridionale.beniculturali.it,42.00724,12.103660000000001
11,Anticoli Corrado,Roma,Non MIBACT,,Sistema MEDANIENE,,,,CIVICO MUSEO D'ARTE MODERNA E CONTEMPORANEA,PIAZZA SANTA VITTORIA; 2,Anticoli Corrado,Edificio,22.0,774936657,774936657,museoanticoli@hotmail.it,-,42.01028,12.9882
12,Roma,Roma,MIBACT,,,,,,Complesso Archeologico di Malborghetto,Via Barlassina; 1,Via Flaminia; Km 19;00,-,188.0,633625595,633616477,-,www.archeoroma.it,42.052170000000004,12.48683
13,Mazzano Romano,Roma,Non MIBACT,OMR,,,,,museo civico archeologico-virtuale di Narce MAVNA,piazza Giovanni XXIII 12,,,60.0,,,info@mavna.it,www.mavna.it,42.20442,12.39963
14,Caprarola,Viterbo,MIBACT,,,,,,Palazzo Farnese,Piazzale Farnese; 1,-,-,1032.0,0761 646052,0761 646052,-,-,42.32799,12.23776
15,Rieti,Rieti,Non MIBACT,,,,,,MUSEO DIOCESANO,VIA CINTIA; 83,-,-,2100.0,746482720,746200228,diocesi-rieti@libero.it,www.museodiocesanorieti.it,42.402409999999996,12.858369999999999
16,Viterbo,Viterbo,Non MIBACT,OMR,,Sistema museale urbano di Viterbo,,,MUSEO DEL SODALIZIO DEI FACCHINI DI SANTA ROSA,VIA S. PELLEGRINO 60-62,-,-,1100.0,761345157,-,-,-,42.41386,12.1059
17,Ventotene,Latina,Non MIBACT,OMR,,,,,MUSEO STORICO ARCHEOLOGICO COMUNALE,PIAZZA CASTELLO 1,Ventotene,Forte torre borbonico - sede comunale,4020.0,771854226,771854061,riservaventotene@comune.ventotene.lt.it,www.riservaventotene.it,40.796358000000005,13.432965
18,Formia,Latina,MIBACT,,,,,,Museo Archeologico Nazionale,Via Vitruvio; 184,-,Palazzo Comunale,4023.0,0771 770382,0771 770382,sba-laz.museoformia@beniculturali.it,www.archeolz.arti.beniculturali.it,41.255707,13.6061587
19,Latina,Latina,Non MIBACT,OMR,,,MUSART,,museo civico 'DUILIO CAMBELLOTTI',PIAZZA SAN MARCO; 1,-,-,4100.0,773486913,773652640,musei@comune.latina.it,-,41.464299,12.9041746
20,Sezze,Latina,Non MIBACT,,,,,,MUSEO LEPINO DELLA CIVILTA' CONTADINA,VIA PIEMONTE; 35,SEZZE SCALO,-,4018.0,773876154,773876154,alessandrodinorma@libero.it,-,41.495245000000004,13.044572
21,Sezze,Latina,Non MIBACT,OMR,,,DEMOS,,MUSEO ETNOGRAFICO DEL GIOCATTOLO TERRITORIALE,VIA UMBERTO PRIMO; 46/48,-,LUDOTECA COMUNALE,4018.0,773803797,773803797,ludoteca@comune.sezze.lt.it,-,41.498302,13.060682
22,Sezze,Latina,Non MIBACT,OMR,Sistema dei Monti Lepini,,,,Museo etnografico del giocattolo LUDUS,Via Umberto I 46/48,,Palazzo Rappini,4018.0,0773 8081.402- 339 7879255,0773 808403,museinsieme.sezze@gmail.com,www.comune.sezze.lt.it/pagina432_museo-del-giocattolo.html,41.498302,13.060682
23,Roccagorga,Latina,Non MIBACT,OMR,Sistema dei Monti Lepini,,DEMOS,,ETNOMUSEO MONTI LEPINI,PIAZZA RISORGIMENTO; 4,-,PALAZZO BARONALE,4010.0,773958792,773960000,info@etnomuseo.it,www.etnomuseo.it,41.524705,13.156568
24,Roccagorga,Latina,Non MIBACT,,,,,,museo civico 'ASSI DELL'AERONAUTICA',via Domenico Menta,Roccagorga,"Edificio Scolastico ""Giuseppe Restaini""",4010.0,773959098,773960170,comune.roccagorga@libero.it,-,41.524963,13.1573663
25,Ceprano,Frosinone,Non MIBACT,OMR,,,,,museo civico ARCHEOLOGICO DI GREGELLAE,CORSO DELLA REPUBBLICA,CEPRANO,SEDE COMUNALE,3024.0,7759174237,775912754,museo.ceprano@libero.it,-,41.545371,13.5160425
26,Bassiano,Latina,Non MIBACT,OMR,,,DEMOS,,MUSEO DELLE SCRITTURE ALDO MANUZIO,VIA ALDO MANUZIO; 117,Bassiano,-,4010.0,773355013,773355013,mds@comune.bassiano.lt.it,-,41.549186999999996,13.032689999999999
27,Arce,Frosinone,Non MIBACT,,,,,,MUSEO TERRITORIALE 'GENTE DI CIOCIARIA',PIAZZA UMBERTO I; SNC,-,-,3032.0,776523171,776524092,info@xvcomunitamontanalazio.it,www.xvcomunitamontanalazio.it,41.587742,13.5742208
28,Velletri,Roma,Non MIBACT,OMR,,Sistema museale urbano di Velletri,,,MUSEO DIOCESANO VELLETRI,CORSO DELLA REPUBBLICA; 347,Velletri,Palazzo vescovile,49.0,69628838,69628838,museo@museodiocesanovelletri.com,www.museodiocesanovelletri.it,41.682846999999995,12.775827
29,Velletri,Roma,Non MIBACT,OMR,,Sistema museale urbano di Velletri,PROUST,,museo civico ARCHEOLOGICO ORESTE NARDINI,VIA G.MAMELI; 6,Velletri,Palazzo Comunale,49.0,696158268,696158239,museo.civico@comune.velletri.rm.it,www.velletrimusei.it,41.686284,12.7770344
30,Segni,Roma,Non MIBACT,OMR,Sistema dei Monti Lepini,,PROUST,,MUSEO ARCHEOLOGICO COMUNALE DI SEGNI,VIA LAURI; 1,-,Antico Palazzo della ComunitÃ‡Ã¿,37.0,697.260.072,697.260.072,info@museosegni.it,www.museosegni.it,41.692865000000005,13.023669900000002
31,Nemi,Roma,MIBACT,,,,,,Museo delle Navi Romane di Nemi,Via Diana; 15/19,Nemi Lago,-,40.0,06 9398040,06 9398040,sba-laz.nemi.museonaviromane@beniculturali.it,www.archeolz.arti.beniculturali.it,41.720303,12.683235
32,Ariccia,Roma,Non MIBACT,OMR,,,,,museo del barocco di Palazzo Chigi di Ariccia,PIAZZA DI CORTE; 14,-,PALAZZO CHIGI,40.0,69330053,69330988,info@palazzochigiariccia.it,www.palazzochigiariccia.it,41.720918,12.6716841
33,Alatri,Frosinone,Non MIBACT,OMR,,,PROUST,,museo civico,corso Cavour; 3,-,All'interno del centro storico di Alatri,3011.0,0775459009  07754481 (Comune),775459009,comune_alatri@libero.it  culturaeturismo@comune.alatri.fr.it,-,41.726062,13.343724900000002
34,Anagni,Frosinone,Non MIBACT,,,,,,MUSEO DEL TESORO DELLA CATTEDRALE E LAPIDARIO,VIA LEONE XIII; 5,-,C/o Cattedrale di Anagni,3012.0,775728374,7755728374,anagnicattedrale@libero.it,www.anagnicattedrale.org,41.742697,13.1622
35,Anagni,Frosinone,Non MIBACT,,,,,,MOSTRA PERMANENTE 'TOMMASO GISMONDI',PIAZZA INNOCENZO III; 25,-,-,3012.0,775727856,775727856,-,-,41.742993,13.161588
36,Fiumicino,Roma,MIBACT,,,,,,Necropoli di Porto - Isola Sacra,Via di Monte Spinoncia; 52,-,-,54.0,66583888,-,-,-,41.767072,12.265684
37,Vico nel Lazio,Frosinone,Non MIBACT,,,,,,MUSEO ALLA PACE 'I NUOVI PRIMITIVI',VIA GUGLIELMO MARCONI; 56,-,C/O Palazzo del Governatore,3010.0,77541662,775418932,luciano.dabbruzzo@alice.it,-,41.777896000000005,13.342014
38,Roma,Roma,Non MIBACT,OMR,,,,,MUSEO DELLE CARROZZE D'EPOCA,VIA ANDREA MILLEVOI; 693,Roma Cecchignola Est,-,178.0,651958112,651958112,info@lecarrozzadepoca.it,-,41.817136,12.519055999999999
39,Roma,Roma,MIBACT,,,,,,Museo Nazionale delle Arti e Tradizioni Popolari,Piazza Marconi; 8/10,-,-,144.0,65926148,65911848,ic-d@beniculturali.it,www.idea.mat.beniculturali.it,41.832485999999996,12.4718655
40,Roma,Roma,MIBACT,,,,,,"Museo Nazionale Preistorico ed Etnografico ""L. Pigorini""",Piazza Guglielmo Marconi; 14,EUR,Palazzo delle Scienze,144.0,6549521,654952310,s-mnpe@beniculturali.it,www.pigorini.beniculturali.it,41.832485999999996,12.4718655
41,Zagarolo,Roma,Non MIBACT,OMR,Sistema museale dei Castelli romani e prenestini MUSEUMGRANDTOUR,,,,MUSEO DEMOETNOANTROPOLOGICO DEL GIOCATTOLO,PIAZZA INDIPENDENZA,Zagarolo,PALAZZO RUSPIGLIOSI,39.0,695769405,69524572,info@museogiocattolo.it,www.museogiocattolo.it,41.838194,12.8308964
42,Rocca di Cave,Roma,Non MIBACT,OMR,,,RESINA,,"museo geo-paleontologico ""Ardito Desio""",piazza della Torre; 11,Rocca,,30.0,06 9584098,06 9584023,hipparcos.cds@tiscali.it,www.museiresina.it/museodesio.htlm,41.847297,12.945667
43,Roma,Roma,Non MIBACT,OMR,,Sistema Musei in Comune,,,MUSEO DELLA REPUBBLICA ROMANA E DELLA MEMORIA GARIBALDINA,LARGO DI PORTA S.PANCRAZIO; 9,Porta San Pancrazio,C/O COMPLESSO MONUMENTALE DI PORTA S.PANCRAZIO,153.0,65894575,658157153,mara.minasi@comune.roma.it,www.museodellarepubblicaromana.it,41.888509,12.4617041
44,Roma,Roma,MIBACT,,,,,,Crypta Balbi,Via delle Botteghe Oscure; 31,-,-,186.0,66977671,669776728,laura.vendittelli@beniculturali.it,www.archeoroma.beniculturali.it,41.894932,12.4783617
45,Roma,Roma,Non MIBACT,,,,,,GALLERIA COLONNA SRL,PIAZZA SANTI APOSTOLI; 66,,-,187.0,66784350,66794638,info@galleriacolonna.it,www.galleriacolonna.it,41.897162,12.483499400000001
46,Roma,Roma,Non MIBACT,,,,,,MUSEO STORICO NAZIONALE DELL'ARTE SANITARIA,LUNGOTEVERE IN SASSIA; 3,-,-,193.0,66893051,66833485,segreteria.asas@gmail.com,-,41.900853000000005,12.4630335
47,Roma,Roma,Non MIBACT,,,,,,MUSEO FRANCESCANO DELL'ISTITUTO STORICO DEI CAPPUCCINI,CIRCONVALLAZIONE OCCIDENTALE 6850,GRA KM 65.50,COLLEGIO S. LORENZO DA BRINDISI,163.0,6660521,666052532,yteklema@yahoo.com,www.istcap.org,41.914376000000004,12.384941099999999
48,Vallepietra,Roma,Non MIBACT,,,,,,museo civico DEGLI EX-VOTO,PIAZZA ITALIA; 2,-,Municipio,20.0,774899031,774899150,info@comunevallepietra.it,-,41.926836,13.230927
49,Tivoli,Roma,MIBACT,,,,,,Villa d'Este,Piazza Trento; 5,-,-,19.0,774312070,0774 318080,villadestetivoli@tiscalinet.it,www.villadestetivoli.info,41.962238,12.796944900000002
50,Cervara di Roma,Roma,Non MIBACT,OMR,,,,,MUSEO DELLA MONTAGNA,VIA VERDI; SNC,-,-,20.0,774828275,774828762,cervaradiroma.comune@virgilio.it,-,41.988214,13.067661900000001
51,San Polo dei Cavalieri,Roma,Non MIBACT,,,,,,CASTELLO BARONALE ORSINI-CESI DI SAN POLO DEI CAVALIERI,via Santa Lucia; 4,-,-,10.0,774426133,774426249,amministrazione@energydi.it,-,42.009771,12.83867
52,Santa Marinella,Roma,Non MIBACT,OMR,,,PROUST,,museo civico ARCHEOLOGICO,VIA DEL CASTELLO DI SANTA SEVERA,Santa Severa,Castello di Santa Severa,50.0,766570077,766570077,muspyrgi@tiscali.it,-,42.017093,11.958993699999999
53,Palombara Sabina,Roma,Non MIBACT,,,,,,ABBAZIA DI 'SAN GIOVANNI IN ARGENTELLA',via San Giovanni in Argentella; 96,-,-,18.0,77466093,77466093,alessandrazielli@libero.it,-,42.055555,12.752177
54,Bracciano,Roma,Non MIBACT,,,,,,CASTELLO ODESCALCHI,PIAZZA MAZZINI; 14,-,-,62.0,699802379,699802380,castello@odescalchi.it,-,42.104242,12.17703
55,Capena,Roma,Non MIBACT,,,,,,museo civico TORRE DELL'OROLOGIO,PIAZZA SAN LUCA; 1,CAPENA,VIA MONTEBELLO,60.0,690376025,69074301,servizisociali@comunedicapena.it,www.comunedicapena.it,42.140007000000004,12.5400069
56,Fara in Sabina,Rieti,Non MIBACT,OMR,,,,,museo civico ARCHEOLOGICO DI FARA SABINA,PIAZZA DUOMO; 3,FARA SABINA,-,2032.0,7652779211,765277321,marialuisaagneni@virgilio.it,www.sabinideltevere.it,42.209457,12.728759
57,Toffia,Rieti,Non MIBACT,,,,,,MUSEO MARIA PETRUCCI,VIA DELLA ROCCA; 21,-,-,2039.0,765326248,765326248,petruccimaria@gmail.com,www.mariapetrucci.it,42.212187,12.752794999999999
58,Castelnuovo di Farfa,Rieti,Non MIBACT,OMR,,,MUSART,,MUSEO DELL'OLIO DELLA SABINA,VIA PERELLI; 1,-,PALAZZO PERELLI,2031.0,76536370,76536370,museoliosabina@libero.it,-,42.231967,12.742877
59,Barbarano Romano,Viterbo,Non MIBACT,,,,RESINA,,MUSEO ETRUSCO,PIAZZA SANT'ANGELO; 2,-,-,1010.0,761414531,-,-,-,42.251118,12.0663609
60,Civita Castellana,Viterbo,Non MIBACT,,,,,,COMUNE DI CIVITA CASTELLANA - MUSEO DELLA CERAMICA 'CASIMIRO MARCANTONI',VIA A. GRAMSCI 3,-,Ex Chiesa di San Giorgio,1033.0,7615901,761517253,comune.civitacastellana@legalmail.it,www.comune.civitacastellana.vt.it,42.288378,12.4153931
61,Borgo Velino,Rieti,Non MIBACT,,,,MUSART,,museo civico,PIAZZA UMBERTO I; 33,borgo velino,-,2010.0,746578896,746578525,comune.borgovelino@libero.it,-,42.405916,13.058259
62,Viterbo,Viterbo,Non MIBACT,OMR,,Sistema museale urbano di Viterbo,,,NUSEO DEL COLLE DEL DUOMO,PIAZZA S. LORENZO; 8A,-,-,1100.0,3477010187,-,museocolledelduomo@libero.it,www.museocolledelduomo.it,42.415647,12.101644
