,comune,provincia,statale non statale,omr,sistema museale territoriale,sistema museale urbano,sistema museale tematico,casa museo,q1.1 sa denominazione museo istituto,q1.2 sa indirizzo museo istituto,q1.3 sa localita museo istituto,q1.4 sa ubicazione/edificio museo istituto,cap,q1.8 sa telefono museo istituto,q1.9 sa fax museo istituto,q1.10 sa email museo istituto,q1.11 sa sito web museo istituto,latitudine,longitudine
0,farnese,viterbo,non mibact,omr,sistema museale del lago di bolsena,,proust,,museo civico ferrante rittatore vonwiller,via colle san martino 16,farnese,,1010.0,761458849,761458849,museofarnesevirgilio.it museofarnesesimulabo.it,www.simulabo.it,42.5498,11.72706
1,roma,roma,non mibact,omr,,,,,ecomuseo del litorale romano,via del fosso di dragoncello 172,longarina/ostia,area impianto idrovoro di ostia antica,124.0,65651764,65650609,crt.ecomuseotin.it,www.ecomuseocrt.it,41.746559999999995,12.31766
2,collepardo,frosinone,mibact,,,,,,abbazia di trisulti,via trisulti 8,,,3010.0,77547024,,,,41.76406,13.37067
3,roma,roma,non mibact,,,,,,museo storico della motorizzazione militare dellesercito,viale dellesercito 170,cecchignola,caserma arpaia,143.0,06 50237374,06 50237374,museocomlogpro.esercito.difesa.it,www.comlogpro.esercito.difesa.it,41.805890000000005,12.49709
4,roma,roma,non mibact,,,,,,museo storico della comunicazione,viale europa 190,,eur ministero dello sviluppo economico,144.0,06 54443000,06 54221673,museo.comunicazionisviluppoeconomico.gov.it,www.sviluppoeconomico.gov.it/museo,41.83129,12.46763
5,roma,roma,mibact,,,,,,complesso di capo di bove,via appia antica 222,,area archeologica presso villa/casale lungo la via appia antica,178.0,67806686,678358742,,htpp//www.archeoroma.beniculturali.it,41.84397,12.529739999999999
6,roma,roma,non mibact,omr,,sistema musei in comune,,,musei capitolini,piazza del campidoglio 1,,c/o palazzo palazzo dei conservatori palazzo nuovo palazzo caffarelli palazzo clementino palazzo senatorio,186.0,667102475,66785488,info.museicapitolinicomune.roma.it,www.museicapitolini.org,41.89335,12.4829
7,roma,roma,non mibact,,,,,,museo teatrale siae del burcardo,via del sudario 44,,,186.0,66819471,668194727,biblioteca.burcardosiae.it,,41.89597,12.475530000000001
8,roma,roma,non mibact,,,,,,museo criminologico,via del gonfalone 29,,,186.0,668899442,668215347,museo.criminologicogiustizia.it,www.museocriminologico.it,41.897729999999996,12.46664
9,roma,roma,non mibact,omr,,,,,museo darte sacra di san giovanni dei fiorentini,via degli acciaioli 2,,chiesa di san giovanni dei fiorentini,186.0,06 6869892,,infosangiovannideifiorentini.net,www.sangiovannideifiorentini.net/index.php/museo/,41.899809999999995,12.464369999999999
10,cerveteri,roma,mibact,,,,,,necropoli della banditaccia,piazzale mario moretti gi della necropoli,,,53.0,69940001,69940001,sba embeniculturali.it,htpp//etruriameridionale.beniculturali.it,42.00724,12.103660000000001
11,anticoli corrado,roma,non mibact,,sistema medaniene,,,,civico museo darte moderna e contemporanea,piazza santa vittoria 2,anticoli corrado,edificio,22.0,774936657,774936657,museoanticolihotmail.it,,42.01028,12.9882
12,roma,roma,mibact,,,,,,complesso archeologico di malborghetto,via barlassina 1,via flaminia km 1900,,188.0,633625595,633616477,,www.archeoroma.it,42.052170000000004,12.48683
13,mazzano romano,roma,non mibact,omr,,,,,museo civico archeologico virtuale di narce mavna,piazza giovanni xxiii 12,,,60.0,,,infomavna.it,www.mavna.it,42.20442,12.39963
14,caprarola,viterbo,mibact,,,,,,palazzo farnese,piazzale farnese 1,,,1032.0,0761 646052,0761 646052,,,42.32799,12.23776
15,rieti,rieti,non mibact,,,,,,museo diocesano,via cintia 83,,,2100.0,746482720,746200228,diocesi rietilibero.it,www.museodiocesanorieti.it,42.402409999999996,12.858369999999999
16,viterbo,viterbo,non mibact,omr,,sistema museale urbano di viterbo,,,museo del sodalizio dei facchini di santa rosa,via s. pellegrino 60 62,,,1100.0,761345157,,,,42.41386,12.1059
17,ventotene,latina,non mibact,omr,,,,,museo storico archeologico comunale,piazza castello 1,ventotene,forte torre borbonico sede comunale,4020.0,771854226,771854061,riservaventotenecomune.ventotene.lt.it,www.riservaventotene.it,40.796358000000005,13.432965
18,formia,latina,mibact,,,,,,museo archeologico nazionale,via vitruvio 184,,palazzo comunale,4023.0,0771 770382,0771 770382,sba laz.museoformiabeniculturali.it,www.archeolz.arti.beniculturali.it,41.255707,13.6061587
19,latina,latina,non mibact,omr,,,musart,,museo civico duilio cambellotti,piazza san marco 1,,,4100.0,773486913,773652640,museicomune.latina.it,,41.464299,12.9041746
20,sezze,latina,non mibact,,,,,,museo lepino della civilta contadina,via piemonte 35,sezze scalo,,4018.0,773876154,773876154,alessandrodinormalibero.it,,41.495245000000004,13.044572
21,sezze,latina,non mibact,omr,,,demos,,museo etnografico del giocattolo territoriale,via umberto primo 46/48,,ludoteca comunale,4018.0,773803797,773803797,ludotecacomune.sezze.lt.it,,41.498302,13.060682
22,sezze,latina,non mibact,omr,sistema dei monti lepini,,,,museo etnografico del giocattolo ludus,via umberto i 46/48,,palazzo rappini,4018.0,0773 8081.402 339 7879255,0773 808403,museinsieme.sezzegmail.com,www.comune.sezze.lt.it/pagina432 museo del giocattolo.html,41.498302,13.060682
23,roccagorga,latina,non mibact,omr,sistema dei monti lepini,,demos,,etnomuseo monti lepini,piazza risorgimento 4,,palazzo baronale,4010.0,773958792,773960000,infoetnomuseo.it,www.etnomuseo.it,41.524705,13.156568
24,roccagorga,latina,non mibact,,,,,,museo civico assi dellaeronautica,via domenico menta,roccagorga,edificio scolastico giuseppe restaini,4010.0,773959098,773960170,comune.roccagorgalibero.it,,41.524963,13.1573663
25,ceprano,frosinone,non mibact,omr,,,,,museo civico archeologico di gregellae,corso della repubblica,ceprano,sede comunale,3024.0,7759174237,775912754,museo.cepranolibero.it,,41.545371,13.5160425
26,bassiano,latina,non mibact,omr,,,demos,,museo delle scritture aldo manuzio,via aldo manuzio 117,bassiano,,4010.0,773355013,773355013,mdscomune.bassiano.lt.it,,41.549186999999996,13.032689999999999
27,arce,frosinone,non mibact,,,,,,museo territoriale gente di ciociaria,piazza umberto i snc,,,3032.0,776523171,776524092,infoxvcomunitamontanalazio.it,www.xvcomunitamontanalazio.it,41.587742,13.5742208
28,velletri,roma,non mibact,omr,,sistema museale urbano di velletri,,,museo diocesano velletri,corso della repubblica 347,velletri,palazzo vescovile,49.0,69628838,69628838,museomuseodiocesanovelletri.com,www.museodiocesanovelletri.it,41.682846999999995,12.775827
29,velletri,roma,non mibact,omr,,sistema museale urbano di velletri,proust,,museo civico archeologico oreste nardini,via g.mameli 6,velletri,palazzo comunale,49.0,696158268,696158239,museo.civicocomune.velletri.rm.it,www.velletrimusei.it,41.686284,12.7770344
30,segni,roma,non mibact,omr,sistema dei monti lepini,,proust,,museo archeologico comunale di segni,via lauri 1,,antico palazzo della comunit,37.0,697.260.072,697.260.072,infomuseosegni.it,www.museosegni.it,41.692865000000005,13.023669900000002
31,nemi,roma,mibact,,,,,,museo delle navi romane di nemi,via diana 15/19,nemi lago,,40.0,06 9398040,06 9398040,sba laz.nemi.museonaviromanebeniculturali.it,www.archeolz.arti.beniculturali.it,41.720303,12.683235
32,ariccia,roma,non mibact,omr,,,,,museo del barocco di palazzo chigi di ariccia,piazza di corte 14,,palazzo chigi,40.0,69330053,69330988,infopalazzochigiariccia.it,www.palazzochigiariccia.it,41.720918,12.6716841
33,alatri,frosinone,non mibact,omr,,,proust,,museo civico,corso cavour 3,,allinterno del centro storico di alatri,3011.0,0775459009 07754481 comune,775459009,comune alatrilibero.it culturaeturismocomune.alatri.fr.it,,41.726062,13.343724900000002
34,anagni,frosinone,non mibact,,,,,,museo del tesoro della cattedrale e lapidario,via leone xiii 5,,c/o cattedrale di anagni,3012.0,775728374,7755728374,anagnicattedralelibero.it,www.anagnicattedrale.org,41.742697,13.1622
35,anagni,frosinone,non mibact,,,,,,mostra permanente tommaso gismondi,piazza innocenzo iii 25,,,3012.0,775727856,775727856,,,41.742993,13.161588
36,fiumicino,roma,mibact,,,,,,necropoli di porto isola sacra,via di monte spinoncia 52,,,54.0,66583888,,,,41.767072,12.265684
37,vico nel lazio,frosinone,non mibact,,,,,,museo alla pace i nuovi primitivi,via guglielmo marconi 56,,c/o palazzo del governatore,3010.0,77541662,775418932,luciano.dabbruzzoalice.it,,41.777896000000005,13.342014
38,roma,roma,non mibact,omr,,,,,museo delle carrozze depoca,via andrea millevoi 693,roma cecchignola est,,178.0,651958112,651958112,infolecarrozzadepoca.it,,41.817136,12.519055999999999
39,roma,roma,mibact,,,,,,museo nazionale delle arti e tradizioni popolari,piazza marconi 8/10,,,144.0,65926148,65911848,ic dbeniculturali.it,www.idea.mat.beniculturali.it,41.832485999999996,12.4718655
40,roma,roma,mibact,,,,,,museo nazionale preistorico ed etnografico l. pigorini,piazza guglielmo marconi 14,eur,palazzo delle scienze,144.0,6549521,654952310,s mnpebeniculturali.it,www.pigorini.beniculturali.it,41.832485999999996,12.4718655
41,zagarolo,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,,,,museo demoetnoantropologico del giocattolo,piazza indipendenza,zagarolo,palazzo ruspigliosi,39.0,695769405,69524572,infomuseogiocattolo.it,www.museogiocattolo.it,41.838194,12.8308964
42,rocca di cave,roma,non mibact,omr,,,resina,,museo geo paleontologico ardito desio,piazza della torre 11,rocca,,30.0,06 9584098,06 9584023,hipparcos.cdstiscali.it,www.museiresina.it/museodesio.htlm,41.847297,12.945667
43,roma,roma,non mibact,omr,,sistema musei in comune,,,museo della repubblica romana e della memoria garibaldina,largo di porta s.pancrazio 9,porta san pancrazio,c/o complesso monumentale di porta s.pancrazio,153.0,65894575,658157153,mara.minasicomune.roma.it,www.museodellarepubblicaromana.it,41.888509,12.4617041
44,roma,roma,mibact,,,,,,crypta balbi,via delle botteghe oscure 31,,,186.0,66977671,669776728,laura.vendittellibeniculturali.it,www.archeoroma.beniculturali.it,41.894932,12.4783617
45,roma,roma,non mibact,,,,,,galleria colonna srl,piazza santi apostoli 66,,,187.0,66784350,66794638,infogalleriacolonna.it,www.galleriacolonna.it,41.897162,12.483499400000001
46,roma,roma,non mibact,,,,,,museo storico nazionale dellarte sanitaria,lungotevere in sassia 3,,,193.0,66893051,66833485,segreteria.asasgmail.com,,41.900853000000005,12.4630335
47,roma,roma,non mibact,,,,,,museo francescano dellistituto storico dei cappuccini,circonvallazione occidentale 6850,gra km 65.50,collegio s. lorenzo da brindisi,163.0,6660521,666052532,yteklemayahoo.com,www.istcap.org,41.914376000000004,12.384941099999999
48,vallepietra,roma,non mibact,,,,,,museo civico degli ex voto,piazza italia 2,,municipio,20.0,774899031,774899150,infocomunevallepietra.it,,41.926836,13.230927
49,tivoli,roma,mibact,,,,,,villa deste,piazza trento 5,,,19.0,774312070,0774 318080,villadestetivolitiscalinet.it,www.villadestetivoli.info,41.962238,12.796944900000002
50,cervara di roma,roma,non mibact,omr,,,,,museo della montagna,via verdi snc,,,20.0,774828275,774828762,cervaradiroma.comunevirgilio.it,,41.988214,13.067661900000001
51,san polo dei cavalieri,roma,non mibact,,,,,,castello baronale orsini cesi di san polo dei cavalieri,via santa lucia 4,,,10.0,774426133,774426249,amministrazioneenergydi.it,,42.009771,12.83867
52,santa marinella,roma,non mibact,omr,,,proust,,museo civico archeologico,via del castello di santa severa,santa severa,castello di santa severa,50.0,766570077,766570077,muspyrgitiscali.it,,42.017093,11.958993699999999
53,palombara sabina,roma,non mibact,,,,,,abbazia di san giovanni in argentella,via san giovanni in argentella 96,,,18.0,77466093,77466093,alessandraziellilibero.it,,42.055555,12.752177
54,bracciano,roma,non mibact,,,,,,castello odescalchi,piazza mazzini 14,,,62.0,699802379,699802380,castelloodescalchi.it,,42.104242,12.17703
55,capena,roma,non mibact,,,,,,museo civico torre dellorologio,piazza san luca 1,capena,via montebello,60.0,690376025,69074301,servizisocialicomunedicapena.it,www.comunedicapena.it,42.140007000000004,12.5400069
56,fara in sabina,rieti,non mibact,omr,,,,,museo civico archeologico di fara sabina,piazza duomo 3,fara sabina,,2032.0,7652779211,765277321,marialuisaagnenivirgilio.it,www.sabinideltevere.it,42.209457,12.728759
57,toffia,rieti,non mibact,,,,,,museo maria petrucci,via della rocca 21,,,2039.0,765326248,765326248,petruccimariagmail.com,www.mariapetrucci.it,42.212187,12.752794999999999
58,castelnuovo di farfa,rieti,non mibact,omr,,,musart,,museo dellolio della sabina,via perelli 1,,palazzo perelli,2031.0,76536370,76536370,museoliosabinalibero.it,,42.231967,12.742877
59,barbarano romano,viterbo,non mibact,,,,resina,,museo etrusco,piazza santangelo 2,,,1010.0,761414531,,,,42.251118,12.0663609
60,civita castellana,viterbo,non mibact,,,,,,comune di civita castellana museo della ceramica casimiro marcantoni,via a. gramsci 3,,ex chiesa di san giorgio,1033.0,7615901,761517253,comune.civitacastellanalegalmail.it,www.comune.civitacastellana.vt.it,42.288378,12.4153931
61,borgo velino,rieti,non mibact,,,,musart,,museo civico,piazza umberto i 33,borgo velino,,2010.0,746578896,746578525,comune.borgovelinolibero.it,,42.405916,13.058259
62,viterbo,viterbo,non mibact,omr,,sistema museale urbano di viterbo,,,nuseo del colle del duomo,piazza s. lorenzo 8a,,,1100.0,3477010187,,museocolledelduomolibero.it,www.museocolledelduomo.it,42.415647,12.101644
63,antrodoco,rieti,non mibact,,,,,,museo storico militare alpini forze armate alpino cav. emanuele galgani,via del ponte 8,antrodoco,palazzo blasetti,2013.0,0746 578185,0746 578623,culturaesportcomunediantrodoco.it,www.comunediantrodoco.it,42.417383,13.080082
64,canino,viterbo,mibact,,,,,,museo archeologico di vulci,,localit vulci,castello dellabbadia,1011.0,0761 437787,0761 437787,sba embeniculturali.it,http//etruriameridionale.beniculturali.it,42.440952,11.6840589
65,montefiascone,viterbo,non mibact,omr,sistema museale del lago di bolsena,,musart,,museo dellarchitettura di antonio da sangallo il giovane,piazza della rocca,,rocca dei papi,1027.0,0761 832060,0761 820884,museosangallocomune.montefiascone.vt.it,,42.536852,12.027624900000001
66,bagnoregio,viterbo,non mibact,,,,,,associazione storico culturale piero taruffi,via fidanza 55,bagnoregio,,1022.0,761780811,761780811,museotaruffilibero.it,www.museotaruffi.it,42.626948999999996,12.0974162
67,ventotene,latina,non mibact,omr,,,resina,,museo della migrazione,,loc. il semaforo,,4020.0,0771 85275 / 340 5412447,,museoimigrazioneventotenegmail.com,,40.798309700000004,13.432063699999999
68,ponza,latina,non mibact,,,,,,museo comunale di ponza,via roma,ponza,,4027.0,77180108,771809718,,www.comune.ponza.lt.it,40.8948998,12.9663529
69,gaeta,latina,non mibact,,,,,,museo de centro storico culturale gaeta,via annunziata 7,gaeta,complesso ss. annunziata,4024.0,771464293,,centrostoriculttiscali.it,,41.2126028,13.580416399999999
70,san felice circeo,latina,non mibact,,,,,,mostra permanente homo sapiens e habitat,piazza lanzuisi 1,san felice circeo,c/o torre dei templari,4017.0,3477896233,,zeirobertolibero.it,www.fondazionemarcellozei.com,41.232826200000005,13.0884991
71,terracina,latina,non mibact,omr,,,proust,,museo civico archeologico pio capponi,piazza del municipio snc,,palazzo comunale torre frumentaria,4019.0,0773707313 07737072,773707278,direttoremuseocomune.terracina.lt.it,,41.2914632,13.248725899999998
72,sabaudia,latina,non mibact,omr,,,,,museo del mare e della costa m. zei,piazza verbania 1,sabaudia,,4016.0,773511340,773514258,museomarecostacomune.sabaudia.latina.it,www.comune.sabaudia.latina.it,41.2983266,13.0297036
73,sabaudia,latina,non mibact,,,,,,museo civico emilio greco,piazza del comune,sabaudia,palazzo comunale,4016.0,773514258,773518923,ufficioculturacomune.sabaudia.latina.it,www.comune.sabaudia.latina.it,41.300312100000006,13.025636500000001
74,sonnino,latina,non mibact,omr,,,demos,,museo delle terre di confine,via giacomo antonelli 1,sonnino,,4010.0,329 8880509,773908600,museoterrediconfinegmail.com,,41.414700200000006,13.2402083
75,latina,latina,non mibact,omr,,,proust,,antiquarium comunale procojo,strada foce verde 53,borgo sabotino,,4100.0,773655060,773652640,museicomune.latina.it,,41.429073200000005,12.8210546
76,anzio,roma,non mibact,omr,,,proust,,museo civico archeologico,via di villa adele 2,anzio,villa adele,42.0,698499479,698499408,museoarcheologicocomune.anzio.roma.it,www.regione.lazio.it/musei/anzio/index.php,41.450351700000006,12.6302093
77,nettuno,roma,non mibact,omr,,,,,antiquarium comunale,via antonio gramsci 5,,forte sangallo,48.0,06 98889553,,direttore.antiquariumcomune.nettuno.roma.it,http//beni culturali.provincia.roma.it/content/museo civico antiquarium comunale,41.4566239,12.656026400000002
78,latina,latina,non mibact,omr,,,musart,,galleria civica darte moderna e contemporanea,via umberto i 39,,palazzo della cultura,4100.0,773652624,773652640,museicomune.latina.it,,41.4632735,12.9056386
79,latina,latina,non mibact,,,,musart,,museo m. valeriani della numismatica della medaglia della grafica incisa e della fotografia,via umberto i 39/41,,palazzo della cultura,4100.0,773652633,773652640,museicomune.latina.it,,41.4632735,12.9056386
80,vallecorsa,frosinone,non mibact,,,,demos,,museo demoetnoantropologico,via g. marconi 1,,chiesa santantonio,3020.0,775679017,775679867,vallecorsalibero.it,,41.4656446,13.336519199999998
