,categoria,provincia,comune,denominazione,indirizzo,telefono,orari,biglietto intero,biglietto ridotto,note,scheda
0,musei archeologici,trapani,mazara del vallo,museo del satiro chiesa di santegidio,"chiesa di santegidio, piazza plebiscito",0923933917,"tutti i giorni, compresi i festivi, dalle 9,00 alle 19,45. servizio di biglietteria sino alle 19.15","6,00","3,00",luned 19 giugno chiusura per disinfestazione,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid33ampidsito87
1,musei etnoantropologici,siracusa,palazzolo acreide,museo regionale casa museo antonino uccello a palazzolo acreide,"via machiavelli, 19",0931 881499,giorni feriali dal luned a sabato dalle 9.00 alle 19.00. festivi tranne prima e terza domenica del mese dalle 14.00 alle 19.30. prima e terza domenica del mese dalle 9.00 alle 13.30. chiusura biglietteria mezzora prima.,"2,00","1,00","biglietto unico casa museo e area archeologica di akrai intero 5,00 ridotto 2,50.",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid15ampidsito84
2,aree archeologiche,ragusa,ispica,area archeologica parco forza,"ispica, via cavagrande,snc",0932952608,"dal 1 aprile tutti i giorni, festivi compresi, dalle 9.00 alle 18.15","2,00","1,00",dipende dal polo regionale di ragusa per i siti archeologici e per i parchi archeologici di kamarina e cava ispica. la prima domenica di ogni mese ingresso gratuito,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid189ampidsito126
3,aree archeologiche,caltanissetta,gela,castelluccio,contrada cucinella spataro. ss 117 bis,0933912626,chiuso temporaneamente,,,biglietto unico con museo archeologico regionale di gela,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid322ampidsito21
4,aree archeologiche,messina,terme vigliatore,villa romana di san biagio,"via nazionale 3, localit san biagio",0909740488,giorni feriali da aprile a settembre ore 0900/1900 festivi da giugno a settembre ore 0900/1900.,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid44ampidsito51
5,aree archeologiche e antiquarium,caltanissetta,gela,antiquarium iconografico e mura timoleontee di capo soprano,contrada scavone viale indipendenza,093391226 0933930975,"in ora solare, dal luned al sabato, dalle 9,30 alle 13,00 e dalle 14,00 alle 18,00 ultimo ingresso ore 17,30. chiuso i festivi tranne la prima domenica di ogni mese, dalle 9,00 alle 13,00 ultimo ingresso ore 12,30","4,00","2,00","apertura tutte le domeniche di giugno e luglio fino alle ore 13,00 ultimo ingresso ore 12,30biglietto unico con il museo archeologico regionale di gela",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid37ampidsito20
6,monumentale,palermo,monreale,chiostro santa maria la nuova duomo,piazza guglielmo il buono,0917071425 0917071411 0916404403,"da luned a sabato 9,00 19,00 ultimo ingresso 18,30 domenica e festivi 9,00 13,30 ultimo ingresso 13,00","6,00","3,00",prima domenica del mese ingresso gratuito,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid49ampidsito63
7,aree archeologiche,siracusa,noto,area archeologica di eloro,,,chiuso,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid182ampidsito82
8,monumentale,palermo,palermo,palazzo ajutamicristo,"via garibaldi, 41",0917071425 3357957161,"martedi e sabato dalle 9.00 alle 18.30. luned, mercoled, gioved, venerd dalle 9.00 alle 13.30.",gratuito,gratuito,prima domenica del mese apertura dalle 9.00 alle 13.00,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid175ampidsito135
9,aree archeologiche,siracusa,siracusa,percorso ipogeico di piazza duomo,piazza duomo 14,0931450801,in atto chiuso,"5,00","2,50",,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid96ampidsito117
