,,biglietto intero,biglietto ridotto,cap,casa museo,categoria,comune,denominazione,indirizzo,latitudine,longitudine,note,omr,orari,provincia,q1.10 sa email museo istituto,q1.11 sa sito web museo istituto,q1.3 sa localita museo istituto,q1.4 sa ubicazione/edificio museo istituto,q1.9 sa fax museo istituto,scheda,sistema museale tematico,sistema museale territoriale,statale non statale,telefono
Lazio,0,,,1010.0,,,farnese,museo civico ferrante rittatore vonwiller,via colle san martino 16,42.5498,11.72706,,omr,,viterbo,museofarnesevirgilio.it museofarnesesimulabo.it,www.simulabo.it,farnese,,761458849,,proust,sistema museale del lago di bolsena,non mibact,761458849
Lazio,1,,,124.0,,,roma,ecomuseo del litorale romano,via del fosso di dragoncello 172,41.746559999999995,12.31766,,omr,,roma,crt.ecomuseotin.it,www.ecomuseocrt.it,longarina/ostia,area impianto idrovoro di ostia antica,65650609,,,,non mibact,65651764
Lazio,2,,,3010.0,,,collepardo,abbazia di trisulti,via trisulti 8,41.76406,13.37067,,,,frosinone,,,,,,,,,mibact,77547024
Lazio,3,,,143.0,,,roma,museo storico della motorizzazione militare dellesercito,viale dellesercito 170,41.805890000000005,12.49709,,,,roma,museocomlogpro.esercito.difesa.it,www.comlogpro.esercito.difesa.it,cecchignola,caserma arpaia,06 50237374,,,,non mibact,06 50237374
Lazio,4,,,144.0,,,roma,museo storico della comunicazione,viale europa 190,41.83129,12.46763,,,,roma,museo.comunicazionisviluppoeconomico.gov.it,www.sviluppoeconomico.gov.it/museo,,eur ministero dello sviluppo economico,06 54221673,,,,non mibact,06 54443000
Lazio,5,,,178.0,,,roma,complesso di capo di bove,via appia antica 222,41.84397,12.529739999999999,,,,roma,,htpp//www.archeoroma.beniculturali.it,,area archeologica presso villa/casale lungo la via appia antica,678358742,,,,mibact,67806686
Lazio,6,,,186.0,,sistema musei in comune,roma,musei capitolini,piazza del campidoglio 1,41.89335,12.4829,,omr,,roma,info.museicapitolinicomune.roma.it,www.museicapitolini.org,,c/o palazzo palazzo dei conservatori palazzo nuovo palazzo caffarelli palazzo clementino palazzo senatorio,66785488,,,,non mibact,667102475
Lazio,7,,,186.0,,,roma,museo teatrale siae del burcardo,via del sudario 44,41.89597,12.475530000000001,,,,roma,biblioteca.burcardosiae.it,,,,668194727,,,,non mibact,66819471
Lazio,8,,,186.0,,,roma,museo criminologico,via del gonfalone 29,41.897729999999996,12.46664,,,,roma,museo.criminologicogiustizia.it,www.museocriminologico.it,,,668215347,,,,non mibact,668899442
Lazio,9,,,186.0,,,roma,museo darte sacra di san giovanni dei fiorentini,via degli acciaioli 2,41.899809999999995,12.464369999999999,,omr,,roma,infosangiovannideifiorentini.net,www.sangiovannideifiorentini.net/index.php/museo/,,chiesa di san giovanni dei fiorentini,,,,,non mibact,06 6869892
Lazio,10,,,53.0,,,cerveteri,necropoli della banditaccia,piazzale mario moretti gi della necropoli,42.00724,12.103660000000001,,,,roma,sba embeniculturali.it,htpp//etruriameridionale.beniculturali.it,,,69940001,,,,mibact,69940001
Lazio,11,,,22.0,,,anticoli corrado,civico museo darte moderna e contemporanea,piazza santa vittoria 2,42.01028,12.9882,,,,roma,museoanticolihotmail.it,,anticoli corrado,edificio,774936657,,,sistema medaniene,non mibact,774936657
Lazio,12,,,188.0,,,roma,complesso archeologico di malborghetto,via barlassina 1,42.052170000000004,12.48683,,,,roma,,www.archeoroma.it,via flaminia km 1900,,633616477,,,,mibact,633625595
Lazio,13,,,60.0,,,mazzano romano,museo civico archeologico virtuale di narce mavna,piazza giovanni xxiii 12,42.20442,12.39963,,omr,,roma,infomavna.it,www.mavna.it,,,,,,,non mibact,
Lazio,14,,,1032.0,,,caprarola,palazzo farnese,piazzale farnese 1,42.32799,12.23776,,,,viterbo,,,,,0761 646052,,,,mibact,0761 646052
Lazio,15,,,2100.0,,,rieti,museo diocesano,via cintia 83,42.402409999999996,12.858369999999999,,,,rieti,diocesi rietilibero.it,www.museodiocesanorieti.it,,,746200228,,,,non mibact,746482720
Lazio,16,,,1100.0,,sistema museale urbano di viterbo,viterbo,museo del sodalizio dei facchini di santa rosa,via s. pellegrino 60 62,42.41386,12.1059,,omr,,viterbo,,,,,,,,,non mibact,761345157
Lazio,17,,,4020.0,,,ventotene,museo storico archeologico comunale,piazza castello 1,40.796358000000005,13.432965,,omr,,latina,riservaventotenecomune.ventotene.lt.it,www.riservaventotene.it,ventotene,forte torre borbonico sede comunale,771854061,,,,non mibact,771854226
Lazio,18,,,4023.0,,,formia,museo archeologico nazionale,via vitruvio 184,41.255707,13.6061587,,,,latina,sba laz.museoformiabeniculturali.it,www.archeolz.arti.beniculturali.it,,palazzo comunale,0771 770382,,,,mibact,0771 770382
Lazio,19,,,4100.0,,,latina,museo civico duilio cambellotti,piazza san marco 1,41.464299,12.9041746,,omr,,latina,museicomune.latina.it,,,,773652640,,musart,,non mibact,773486913
Lazio,20,,,4018.0,,,sezze,museo lepino della civilta contadina,via piemonte 35,41.495245000000004,13.044572,,,,latina,alessandrodinormalibero.it,,sezze scalo,,773876154,,,,non mibact,773876154
Lazio,21,,,4018.0,,,sezze,museo etnografico del giocattolo territoriale,via umberto primo 46/48,41.498302,13.060682,,omr,,latina,ludotecacomune.sezze.lt.it,,,ludoteca comunale,773803797,,demos,,non mibact,773803797
Lazio,22,,,4018.0,,,sezze,museo etnografico del giocattolo ludus,via umberto i 46/48,41.498302,13.060682,,omr,,latina,museinsieme.sezzegmail.com,www.comune.sezze.lt.it/pagina432 museo del giocattolo.html,,palazzo rappini,0773 808403,,,sistema dei monti lepini,non mibact,0773 8081.402 339 7879255
