,Categoria,Provincia,Comune,Denominazione,Indirizzo,Telefono,Orari,Biglietto intero,Biglietto ridotto,Note,scheda
0,Musei archeologici,Trapani,Mazara del Vallo,Museo del Satiro (Chiesa di Sant'Egidio),"Chiesa di Sant'Egidio, Piazza Plebiscito",0923933917,"Tutti i giorni, compresi i festivi, dalle 9,00 alle 19,45. Servizio di biglietteria sino alle 19.15","6,00 â‚¬","3,00 â‚¬",LunedÃ¬ 19 giugno chiusura per disinfestazione,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=33&amp;IdSito=87
1,Musei etnoantropologici,Siracusa,Palazzolo Acreide,Museo regionale casa-museo Antonino Uccello a Palazzolo Acreide,"Via Machiavelli, 19",0931 881499,Giorni feriali dal lunedÃ¬ a sabato dalle 9.00 alle 19.00. Festivi tranne prima e terza domenica del mese dalle 14.00 alle 19.30. Prima e terza domenica del mese dalle 9.00 alle 13.30. Chiusura biglietteria mezz'ora prima.,"2,00 â‚¬","1,00 â‚¬","Biglietto Unico - Casa museo e Area Archeologica di Akrai: Intero â‚¬ 5,00 Ridotto â‚¬ 2,50.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=15&amp;IdSito=84
2,Aree archeologiche,Ragusa,Ispica,Area archeologica Parco Forza,"Ispica, Via Cavagrande,snc",0932952608,"Dal 1 aprile tutti i giorni, festivi compresi, dalle 9.00 alle 18.15","2,00 â‚¬","1,00 â‚¬",Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica. La prima domenica di ogni mese ingresso gratuito,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=189&amp;IdSito=126
3,Aree archeologiche,Caltanissetta,Gela,Castelluccio,Contrada Cucinella Spataro. SS 117 Bis,0933912626,Chiuso temporaneamente,,,Biglietto unico con Museo Archeologico Regionale di Gela,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=322&amp;IdSito=21
4,Aree archeologiche,Messina,Terme Vigliatore,Villa Romana di San Biagio,"Via Nazionale 3, localitÃ  San Biagio",0909740488,Giorni feriali da aprile a settembre ore 09:00/19:00; festivi da giugno a settembre ore 09:00/19:00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=44&amp;IdSito=51
5,Aree archeologiche e Antiquarium,Caltanissetta,Gela,Antiquarium iconografico e Mura Timoleontee di Capo Soprano,Contrada Scavone - Viale Indipendenza,093391226 - 0933930975,"In ora solare, dal lunedÃ¬ al sabato, dalle 9,30 alle 13,00 e dalle 14,00 alle 18,00 (ultimo ingresso ore 17,30). CHIUSO I FESTIVI  tranne la prima domenica di ogni mese, dalle 9,00 alle 13,00 (ultimo ingresso ore 12,30)","4,00 â‚¬","2,00 â‚¬","Apertura tutte le domeniche di giugno e luglio fino alle ore 13,00 (ultimo ingresso ore 12,30)
Biglietto unico con il Museo archeologico regionale di Gela",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=37&amp;IdSito=20
6,Monumentale,Palermo,Monreale,Chiostro Santa Maria la Nuova (Duomo),Piazza Guglielmo il Buono,0917071425 - 0917071411 -  0916404403,"Da lunedÃ¬ a sabato 9,00-19,00 (ultimo ingresso 18,30) domenica e festivi 9,00-13,30 (ultimo ingresso 13,00)","6,00 â‚¬","3,00 â‚¬",Prima domenica del mese ingresso gratuito,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=49&amp;IdSito=63
7,Aree archeologiche,Siracusa,Noto,Area archeologica di Eloro,,,Chiuso,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=182&amp;IdSito=82
8,Monumentale,Palermo,Palermo,Palazzo Ajutamicristo,"Via Garibaldi, 41",0917071425 - 3357957161,"Martedi e sabato dalle 9.00 alle 18.30. LunedÃ¬, mercoledÃ¬, giovedÃ¬, venerdÃ¬ dalle 9.00 alle 13.30.",Gratuito,Gratuito,Prima domenica del mese apertura dalle 9.00 alle 13.00,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=175&amp;IdSito=135
9,Aree archeologiche,Siracusa,Siracusa,Percorso ipogeico di Piazza Duomo,Piazza Duomo 14,0931450801,In atto chiuso,"5,00 â‚¬","2,50 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=96&amp;IdSito=117
